,Geneid,Total_count,zero_counts,one_count,two_counts,more_than_two_counts
7842,OR5K3_17171,0,106,0,0,0
7843,OR5H14_17172,0,106,0,0,0
7844,OR5H15_17173,0,106,0,0,0
7845,OR4A47_17174,0,106,0,0,0
7846,OR4C45_17175,0,106,0,0,0
7847,OR6C65_17176,0,106,0,0,0
7949,OR52J3_17306,0,106,0,0,0
7950,OR8U8_17307,0,106,0,0,0
7951,OR2G6_17308,0,106,0,0,0
7958,OR2G2_17318,0,106,0,0,0
7971,OR8K1_17336,0,106,0,0,0
7997,OR9G4_17366,0,106,0,0,0
8000,OR2AT4_17370,0,106,0,0,0
8009,OR10A4_17382,0,106,0,0,0
8055,OR4S2_17437,0,106,0,0,0
8060,OR52B2_17442,0,106,0,0,0
8348,OR14A16_17827,0,106,0,0,0
8349,OR4D5_17828,0,106,0,0,0
8351,OR13C3_17830,0,106,0,0,0
8352,OR5W2_17831,0,106,0,0,0
8385,OR5F1_17867,0,106,0,0,0
8470,OR2F1_17977,0,106,0,0,0
8511,OR2K2_18031,0,106,0,0,0
8621,OR9Q1_18173,0,106,0,0,0
8764,OR11H2_18358,0,106,0,0,0
8802,OR1D2_18410,0,106,0,0,0
8825,OR51B4_18438,0,106,0,0,0
8857,OR51A4_18480,0,106,0,0,0
8858,OR2A7_18481,0,106,0,0,0
8994,OR1E1_18652,0,106,0,0,0
8995,OR1E2_18653,0,106,0,0,0
8996,OR1G1_18654,0,106,0,0,0
9076,OR52I2_18749,0,106,0,0,0
9077,OR52K2_18750,0,106,0,0,0
9079,OR52N2_18752,0,106,0,0,0
9080,OR52N4_18753,0,106,0,0,0
9081,OR52R1_18755,0,106,0,0,0
9082,OR56A4_18757,0,106,0,0,0
9131,OR5AS1_18820,0,106,0,0,0
9132,OR4C15_18821,0,106,0,0,0
9444,OR51Q1_19210,0,106,0,0,0
9445,OR51M1_19211,0,106,0,0,0
9446,OR51L1_19212,0,106,0,0,0
9447,OR51I2_19213,0,106,0,0,0
9448,OR51F2_19214,0,106,0,0,0
9449,OR51F1_19215,0,106,0,0,0
9450,OR51D1_19216,0,106,0,0,0
9453,OR51S1_19220,0,106,0,0,0
9454,OR2A2_19221,0,106,0,0,0
9455,OR5H2_19222,0,106,0,0,0
9456,OR4K5_19223,0,106,0,0,0
9457,OR4K15_19224,0,106,0,0,0
9458,OR13G1_19225,0,106,0,0,0
9525,OR4F15_19308,0,106,0,0,0
9642,OR5I1_19447,0,106,0,0,0
9697,OR2AP1_19518,0,106,0,0,0
9791,OR6V1_19639,0,106,0,0,0
9850,OR4C12_19712,0,106,0,0,0
9858,OR5J2_19721,0,106,0,0,0
9866,OR5D16_19733,0,106,0,0,0
9931,OR5P2_19816,0,106,0,0,0
9932,OR5P3_19817,0,106,0,0,0
9935,OR2A14_19821,4,103,2,1,0
9938,OR2Y1_19824,0,106,0,0,0
9939,OR9A4_19825,1,105,1,0,0
10016,OR6S1_19922,0,106,0,0,0
10062,OR2D2_19981,1,105,1,0,0
10262,OR4M2_20220,0,106,0,0,0
10265,OR4K14_20225,0,106,0,0,0
10266,OR4D9_20226,0,106,0,0,0
10270,OR4K13_20230,0,106,0,0,0
10338,OR7G1_20315,0,106,0,0,0
10339,OR7G2_20316,0,106,0,0,0
10341,OR7D4_20318,0,106,0,0,0
10368,OR5M8_20350,0,106,0,0,0
10468,OR56A1_20464,0,106,0,0,0
10547,OR1S1_20564,0,106,0,0,0
10548,OR1S2_20565,0,106,0,0,0
10550,OR1N2_20569,0,106,0,0,0
10551,OR1B1_20570,0,106,0,0,0
10552,OR1J1_20571,0,106,0,0,0
10555,OR6N2_20574,0,106,0,0,0
10556,OR2AE1_20575,0,106,0,0,0
10557,OR4A15_20576,0,106,0,0,0
10558,OR4A16_20577,0,106,0,0,0
10560,OR4A5_20579,0,106,0,0,0
10677,OR52N1_20726,0,106,0,0,0
10693,OR5AU1_20745,0,106,0,0,0
10694,OR5AR1_20746,0,106,0,0,0
10695,OR5B12_20747,0,106,0,0,0
10696,OR5K1_20750,0,106,0,0,0
10697,OR5L2_20751,0,106,0,0,0
10698,OR5L1_20752,0,106,0,0,0
10751,OR10G2_20815,0,106,0,0,0
10753,OR5B3_20817,0,106,0,0,0
10902,OR11H12_21011,0,106,0,0,0
10930,OR2W5_21046,0,106,0,0,0
10931,OR2Z1_21047,0,106,0,0,0
10933,OR2T10_21051,0,106,0,0,0
10934,OR2M5_21052,0,106,0,0,0
10935,OR2M7_21053,0,106,0,0,0
10954,OR10Z1_21076,0,106,0,0,0
10958,OR10S1_21081,0,106,0,0,0
10962,OR10C1_21085,0,106,0,0,0
11058,OR6P1_21207,0,106,0,0,0
11111,OR2T34_21265,0,106,0,0,0
11194,OR4C3_21371,0,106,0,0,0
11372,OR51G1_21600,0,106,0,0,0
11373,OR1L1_21601,0,106,0,0,0
11374,OR1L4_21602,0,106,0,0,0
11375,OR1L3_21603,0,106,0,0,0
11377,OR11H1_21605,0,106,0,0,0
11378,OR51G2_21606,0,106,0,0,0
11399,OR7A17_21628,0,106,0,0,0
11400,OR2W1_21629,0,106,0,0,0
11401,OR2J2_21630,0,106,0,0,0
11402,OR2T1_21631,0,106,0,0,0
11586,OR2A42_21857,0,106,0,0,0
11598,OR9A2_21871,0,106,0,0,0
11635,OR56A5_21919,0,106,0,0,0
11767,OR6K2_22090,0,106,0,0,0
11839,OR5B21_22178,0,106,0,0,0
11844,OR2J3_22186,3,105,0,0,0
11958,OR6B1_22318,0,106,0,0,0
12154,OR10X1_22581,0,106,0,0,0
12300,OR10H2_22772,0,106,0,0,0
12539,OR1L8_23066,0,106,0,0,0
12562,OR6C76_23093,0,106,0,0,0
12643,OR51B5_23184,0,106,0,0,0
12740,OR6M1_23297,0,106,0,0,0
12748,OR52B6_23306,0,106,0,0,0
12767,OR6K3_23328,0,106,0,0,0
12808,OR1K1_23374,0,106,0,0,0
12857,OR10K1_23437,0,106,0,0,0
12867,OR4P4_23447,0,106,0,0,0
12899,OR51B2_23482,0,106,0,0,0
12955,OR2M4_23559,0,106,0,0,0
13008,OR4Q3_23622,0,106,0,0,0
13031,OR2AG2_23652,0,106,0,0,0
13032,OR2B11_23653,0,106,0,0,0
13062,OR1A1_23687,0,106,0,0,0
13326,OR52L1_23996,0,106,0,0,0
13403,OR5B17_24091,0,106,0,0,0
13473,OR10V1_24178,0,106,0,0,0
13484,OR51A7_24192,0,106,0,0,0
13517,OR2T11_24228,0,106,0,0,0
13541,OR10G3_24259,0,106,0,0,0
13594,OR1I1_24319,0,106,0,0,0
13604,OR4L1_24333,0,106,0,0,0
13667,OR4N4_24412,0,106,0,0,0
13668,OR52M1_24413,0,106,0,0,0
13751,OR5AC2_24517,0,106,0,0,0
13895,OR2H1_24701,0,106,0,0,0
13920,OR4M1_24736,0,106,0,0,0
13921,OR11G2_24737,0,106,0,0,0
14012,OR2A5_24846,0,106,0,0,0
14048,OR7A10_24892,0,106,0,0,0
14054,OR8D4_24901,0,106,0,0,0
14066,OR8H1_24916,0,106,0,0,0
14144,OR4K17_25011,0,106,0,0,0
14218,OR2L13_25103,0,106,0,0,0
14251,OR2V1_25146,0,106,0,0,0
14295,OR1N1_25199,0,106,0,0,0
14300,OR1Q1_25205,0,106,0,0,0
14302,OR2B6_25209,0,106,0,0,0
14789,OR7G3_25808,0,106,0,0,0
14796,OR8J3_25816,0,106,0,0,0
14837,OR5M10_25865,0,106,0,0,0
14878,OR5B2_25916,0,106,0,0,0
14911,OR4S1_25954,0,106,0,0,0
14916,OR6K6_25962,0,106,0,0,0
14984,OR8H3_26060,0,106,0,0,0
14988,OR10K2_26067,0,106,0,0,0
15008,OR8G2P_26093,0,106,0,0,0
15051,OR8A1_26153,0,106,0,0,0
15071,OR13C8_26182,0,106,0,0,0
15133,OR8B12_26266,0,106,0,0,0
15156,OR4E2_26297,0,106,0,0,0
15188,OR51T1_26339,0,106,0,0,0
15222,OR10P1_26381,0,106,0,0,0
15241,OR6A2_26403,7,100,5,1,0
15249,OR1J4_26411,0,106,0,0,0
15250,OR1L6_26412,0,106,0,0,0
15260,OR14I1_26426,0,106,0,0,0
15288,OR11H4_26456,0,106,0,0,0
15344,OR9I1_26519,0,106,0,0,0
15362,OR52H1_26538,0,106,0,0,0
15380,OR14J1_26559,0,106,0,0,0
15384,OR4C16_26563,0,106,0,0,0
15385,OR4C46_26564,0,106,0,0,0
15386,OR4C11_26565,0,106,0,0,0
16184,OR2AK2_27628,3,104,1,1,0
16185,OR2L2_27629,0,106,0,0,0
16186,OR2L5_27631,0,106,0,0,0
16187,OR51I1_27633,0,106,0,0,0
16188,OR6Q1_27634,0,106,0,0,0
16897,OR2T33_28562,0,106,0,0,0
16955,OR10G7_28674,0,106,0,0,0
17212,OR5A1_33497,0,106,0,0,0
17213,OR8U1_33498,0,106,0,0,0
17228,OR9G1_33513,0,106,0,0,0
17231,OR2T12_33516,0,106,0,0,0
17234,OR4C5_33519,0,106,0,0,0
17235,OR10G4_33521,0,106,0,0,0
17236,OR4F21_33522,0,106,0,0,0
17238,OR51H1_33524,0,106,0,0,0
17241,OR4F4_33527,0,106,0,0,0
17245,OR2T29_33531,0,106,0,0,0
17250,OR51J1_33537,0,106,0,0,0
17268,OR8B3_33558,0,106,0,0,0
17283,OR2T5_33575,0,106,0,0,0
17310,OR8B2_33606,0,106,0,0,0
17316,OR2J1_33612,1,105,1,0,0
17338,OR5H8_33639,0,106,0,0,0
17355,OR2A1_33656,0,106,0,0,0
17369,OR4A8_33670,0,106,0,0,0
17377,OR13C7_33679,0,106,0,0,0
17384,OR5AC1_33688,0,106,0,0,0
17389,OR10G8_33694,0,106,0,0,0
17397,OR5G3_33702,0,106,0,0,0
17403,OR10AC1_33710,0,106,0,0,0
17404,OR5AL1_33711,0,106,0,0,0
17412,OR52E1_33723,0,106,0,0,0
17420,OR4F3_33733,0,106,0,0,0
17477,OR10J4_33794,0,106,0,0,0
17483,OR52Z1_33803,0,106,0,0,0
17488,OR12D1_33809,0,106,0,0,0
17500,OR8G5_33823,0,106,0,0,0
17513,OR8J2_33838,0,106,0,0,0
17520,OR6J1_33847,0,106,0,0,0
17534,OR11H7_33863,0,106,0,0,0
17562,OR4F17_33897,0,106,0,0,0
17618,OR4Q2_33983,0,106,0,0,0
17632,OR4K3_33999,0,106,0,0,0
17641,OR4F5_34009,0,106,0,0,0
17669,OR1D4_34039,0,106,0,0,0
17676,OR1P1_34046,0,106,0,0,0
17677,OR1E3_34047,0,106,0,0,0
17683,OR4E1_34053,0,106,0,0,0
17689,OR2L8_34061,2,105,0,1,0
17728,OR5D3P_87382,0,106,0,0,0
17780,OR2H2_87444,0,106,0,0,0
17804,OR6B3_87474,0,106,0,0,0
17874,OR8D1_87550,0,106,0,0,0
17875,OR8D2_87551,0,106,0,0,0
17922,OR2AJ1_87604,0,106,0,0,0
17925,OR7A5_87607,0,106,0,0,0
17956,OR13A1_87645,0,106,0,0,0
17962,OR51B6_87652,0,106,0,0,0
17983,OR10D3_87677,0,106,0,0,0
18199,OR1M1_87934,0,106,0,0,0
18201,OR8B4_87937,0,106,0,0,0
18202,OR8B8_87938,0,106,0,0,0
18347,OR8S1_88106,0,106,0,0,0
18462,OR10G6_88238,0,106,0,0,0
18498,OR13J1_88283,0,106,0,0,0
18640,OR2I1P_88444,0,106,0,0,0
18646,OR51C1P_88452,0,106,0,0,0
18693,OR2T7_88504,0,106,0,0,0
18694,OR2T4_88505,0,106,0,0,0
18762,OR51E1_88579,0,106,0,0,0
18763,OR51E2_88580,1,105,1,0,0
18775,OR10A5_88594,0,106,0,0,0
18803,OR14K1_88625,0,106,0,0,0
19009,OR2B2_88859,0,106,0,0,0
19056,OR9H1P_88911,0,106,0,0,0
19180,OR52W1_89056,0,106,0,0,0
19228,OR2C1_89108,0,106,0,0,0
19236,OR2M3_89116,0,106,0,0,0
19374,OR1F1_89278,2,104,2,0,0
19396,OR56B4_89304,0,106,0,0,0
19406,OR13H1_89316,0,106,0,0,0
19408,OR2L3_89318,0,106,0,0,0
19419,OR7D2_89329,0,106,0,0,0
19521,OR14A2_89445,0,106,0,0,0
19589,OR5K2_89522,0,106,0,0,0
19654,OR5BS1P_89601,0,106,0,0,0
19667,OR52D1_89615,0,106,0,0,0
19742,OR5M11_89705,0,106,0,0,0
19831,OR52E5_89805,0,106,0,0,0
19898,OR56A3_89881,0,106,0,0,0
20477,OR3A2_90617,0,106,0,0,0
20601,OR10H5_90782,0,106,0,0,0
20822,OR10R2_91057,0,106,0,0,0
20852,OR2T8_91094,0,106,0,0,0
